property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max
Iron (Fe) - total,Total_hcl-aquaregia,%,0,100
Iron (Fe) - total,Total_hclo4,%,0,100
Iron (Fe) - total,Total_hno3-aquafortis,%,0,100
Iron (Fe) - total,Total_nh4-6mo7o24,%,0,100
Iron (Fe) - total,Total_tp03,%,0,100
Iron (Fe) - total,Total_tp04,%,0,100
Iron (Fe) - total,Total_tp05,%,0,100
Iron (Fe) - total,Total_tp06,%,0,100
Iron (Fe) - total,Total_tp07,%,0,100
Iron (Fe) - total,Total_tp08,%,0,100
Iron (Fe) - total,Total_tp09,%,0,100
Iron (Fe) - total,Total_tp10,%,0,100
Iron (Fe) - total,Total_unkn,%,0,100
Iron (Fe) - total,Total_xrd,%,0,100
Iron (Fe) - total,Total_xrf,%,0,100
Iron (Fe) - total,Total_xrf-p,%,0,100
Iron (Fe) - total,Total_xtf-t,%,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph0-cohex,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph0-nh4cl,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph7-nh4oac,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph7-nh4oac-aas,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph7-nh4oac-fp,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph7-unkn,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph8-bacl2tea,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph8-unkn,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph-unkn-edta,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph-unkn-m3,cmol/kg,0,100
Magnesium (Mg++) - exchangeable,ExchBases_ph-unkn-m3-spec,cmol/kg,0,100
Magnesium (Mg) - extractable,Extr_ap14,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_ap15,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_ap20,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_ap21,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_c6h8o7-reeuwijk,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_cacl2,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_capo4,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_dtpa,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_edta,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_h2so4-truog,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_hcl-h2so4-nelson,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_hcl-nh4f-bray1,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_hcl-nh4f-bray2,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_hcl-nh4f-kurtz-bray,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_hno3,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_hotwater,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_m1,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_m2,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_m3,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_m3-spec,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_nahco3-olsen,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_nahco3-olsen-dabin,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_naoac-morgan,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,cmol/kg,0,1000
Magnesium (Mg) - extractable,Extr_nh4-co3-2-ambic1,cmol/kg,0,1000
Magnesium (Mg) - total,Total_h2so4,cmol/kg,0,1000
Magnesium (Mg) - total,Total_hcl,cmol/kg,0,1000
Magnesium (Mg) - total,Total_hcl-aquaregia,cmol/kg,0,1000
Magnesium (Mg) - total,Total_hclo4,cmol/kg,0,1000
Magnesium (Mg) - total,Total_hno3-aquafortis,cmol/kg,0,1000
Magnesium (Mg) - total,Total_nh4-6mo7o24,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp03,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp04,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp05,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp06,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp07,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp08,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp09,cmol/kg,0,1000
Magnesium (Mg) - total,Total_tp10,cmol/kg,0,1000
Magnesium (Mg) - total,Total_unkn,cmol/kg,0,1000
Magnesium (Mg) - total,Total_xrd,cmol/kg,0,1000
Magnesium (Mg) - total,Total_xrf,cmol/kg,0,1000
Magnesium (Mg) - total,Total_xrf-p,cmol/kg,0,1000
Magnesium (Mg) - total,Total_xtf-t,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_ap14,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_ap15,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_ap20,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_ap21,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_c6h8o7-reeuwijk,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_cacl2,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_capo4,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_dtpa,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_edta,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_h2so4-truog,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_hcl-h2so4-nelson,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_hcl-nh4f-bray1,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_hcl-nh4f-bray2,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_hcl-nh4f-kurtz-bray,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_hno3,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_hotwater,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_m1,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_m2,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_m3,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_m3-spec,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_nahco3-olsen,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_nahco3-olsen-dabin,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_naoac-morgan,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,cmol/kg,0,1000
Manganese (Mn) - extractable,Extr_nh4-co3-2-ambic1,cmol/kg,0,1000
Manganese (Mn) - total,Total_h2so4,cmol/kg,0,1000
Manganese (Mn) - total,Total_hcl,cmol/kg,0,1000
Manganese (Mn) - total,Total_hcl-aquaregia,cmol/kg,0,1000
Manganese (Mn) - total,Total_hclo4,cmol/kg,0,1000
Manganese (Mn) - total,Total_hno3-aquafortis,cmol/kg,0,1000
Manganese (Mn) - total,Total_nh4-6mo7o24,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp03,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp04,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp05,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp06,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp07,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp08,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp09,cmol/kg,0,1000
Manganese (Mn) - total,Total_tp10,cmol/kg,0,1000
Manganese (Mn) - total,Total_unkn,cmol/kg,0,1000
Manganese (Mn) - total,Total_xrd,cmol/kg,0,1000
Manganese (Mn) - total,Total_xrf,cmol/kg,0,1000
Manganese (Mn) - total,Total_xrf-p,cmol/kg,0,1000
Manganese (Mn) - total,Total_xtf-t,cmol/kg,0,1000
manganeseProperty,ExchBases_ph0-cohex,cmol/kg,0,1000
manganeseProperty,ExchBases_ph0-nh4cl,cmol/kg,0,1000
